Index,Word,Meaning (Full),Meaning (Short),PronunciationIPA,PronunciationURL
1,abase,"Degrade or humble; to lower in rank, status, or esteem","Degrade or humble; to lower in rank, status, or esteem",/əˈbeɪs/,https://dictionary.cambridge.org/dictionary/english/abase
2,abate,"Reduce, diminish","Reduce, diminish",/əˈbeɪt/,https://dictionary.cambridge.org/dictionary/english/abate
3,abdicate,Formally give up the throne (or some other power or responsibility),Formally give up the throne (or some other power or responsibility),/ˈæb.dɪˌkeɪt/,https://dictionary.cambridge.org/dictionary/english/abdicate
4,aberrant,"Abnormal, deviant","Abnormal, deviant",/əˈbɛɹ.n̩t/,https://dictionary.cambridge.org/dictionary/english/aberrant
5,abeyance,"Temporary suspension, inactivity","Temporary suspension, inactivity",/əˈbeɪ.əns/,https://dictionary.cambridge.org/dictionary/english/abeyance
6,abhor,"Detest, regard with disgust","Detest, regard with disgust",/əbˈhɔː(ɹ)/,https://dictionary.cambridge.org/dictionary/english/abhor
7,abjure,"Give up, renounce; repudiate, recant, or shun (especially formally or under oath)","Give up, renounce; repudiate, recant, or shun (especially formally or under oath)",/æbˈdʒʊɹ/,https://dictionary.cambridge.org/dictionary/english/abjure
8,abrasive,"Rough, suitable for grinding or polishing (such as sandpaper); causing irritation or annoyance","Rough, suitable for grinding or polishing (such as sandpaper); causing irritation or…",/əˈbɹeɪ.sɪv/,https://dictionary.cambridge.org/dictionary/english/abrasive
9,abreast,"Side-by-side. The more common ""abreast of"" means keeping up with, staying aware of, or remaining equal in progress with.","Side-by-side. The more common ""abreast of"" means keeping up with, staying aware…",/əˈbɹɛst/,https://dictionary.cambridge.org/dictionary/english/abreast
10,abridge,Reduce or lessen; shorten by omitting parts throughout while retaining the main idea,Reduce or lessen; shorten by omitting parts throughout while retaining the main…,/əˈbɹɪd͡ʒ/,https://dictionary.cambridge.org/dictionary/english/abridge
11,abscission,"Cutting off; sudden termination; the separation of leaves, petals, or other parts from a plant or animal","Cutting off; sudden termination; the separation of leaves, petals, or other parts…",/æbˈsɪ.ʃn̩/,https://dictionary.cambridge.org/dictionary/english/abscission
12,abscond,Depart suddenly and secretively,Depart suddenly and secretively,/əbˈskɒnd/,https://dictionary.cambridge.org/dictionary/english/abscond
13,abstain,"Hold back, refrain (especially from something bad or unhealthy); decline to vote","Hold back, refrain (especially from something bad or unhealthy); decline to vote",/əbˈsteɪn/,https://dictionary.cambridge.org/dictionary/english/abstain
14,abyss,A deep and vast space or cavity; anything profound or infinite,A deep and vast space or cavity; anything profound or infinite,/əˈbɪs/,https://dictionary.cambridge.org/dictionary/english/abyss
15,accede,"Agree, give consent; assume power (usually as ""accede to"")","Agree, give consent; assume power (usually as ""accede to"")",/əkˈsiːd/,https://dictionary.cambridge.org/dictionary/english/accede
16,accretion,Gradual increase; an added part or addition,Gradual increase; an added part or addition,/ə.ˈkɹi.ʃən/,https://dictionary.cambridge.org/dictionary/english/accretion
17,acerbic,Sour; harsh or severe,Sour; harsh or severe,/əˈsɜː(ɹ)bɪk/,https://dictionary.cambridge.org/dictionary/english/acerbic
18,acidulous,Slightly acid or sour; sharp or caustic,Slightly acid or sour; sharp or caustic,/əˈsɪdjʊləs/,https://dictionary.cambridge.org/dictionary/english/acidulous
19,acme,"Summit, peak, highest point","Summit, peak, highest point",/ˈæk.mi/,https://dictionary.cambridge.org/dictionary/english/acme
20,activism,"The practice of pursuing political or other goals through vigorous action, often including protests and demonstrations","The practice of pursuing political or other goals through vigorous action, often…",/ˈæk.tɪ.vɪ.zəm̩/,https://dictionary.cambridge.org/dictionary/english/activism
21,acumen,"Keen, quick, accurate insight or judgment","Keen, quick, accurate insight or judgment",/əˈkjuːmən/,https://dictionary.cambridge.org/dictionary/english/acumen
22,adhere,"Stick (to), such as with glue, or to a plan or belief","Stick (to), such as with glue, or to a plan or belief",/ædˈhiɹ/,https://dictionary.cambridge.org/dictionary/english/adhere
23,admonish,"Mildly scold; caution, advise, or remind to do something","Mildly scold; caution, advise, or remind to do something",/ədˈmɒn.ɪʃ/,https://dictionary.cambridge.org/dictionary/english/admonish
24,adulterate,Make impure by adding inappropriate or inferior ingredients,Make impure by adding inappropriate or inferior ingredients,,https://dictionary.cambridge.org/dictionary/english/adulterate
25,adumbrate,Give a rough outline of; foreshadow; reveal only partially; obscure,Give a rough outline of; foreshadow; reveal only partially; obscure,/ˈædʌmˌbɹeɪt/,https://dictionary.cambridge.org/dictionary/english/adumbrate
26,adverse,"Opposing, harmful","Opposing, harmful",/ədˈvɜ(ɹ)s/,https://dictionary.cambridge.org/dictionary/english/adverse
27,advocate,Speak or argue in favor of (verb); a person who pleads for a cause or on behalf of another person (noun),Speak or argue in favor of (verb); a person who pleads for…,/ˈæd.və.keɪt/,https://dictionary.cambridge.org/dictionary/english/advocate
